Date,Initial Search PSMs,Initial Search Peptides,Post-calibration PSMs,Post-calibration Peptides,Post-GPTMD PSMs,Post-GPTMD Peptides,Initial Search Time,Calibration Time,Post-calibration Search Time,GPTMD Time,Post-GPTMD Search Time,Interlink CSMs,Intralink CSMs,Loop CSMs,Deadend CSMs,Crosslink Single PSMs,Crosslink Single Peptides,XL Search Time,Glyco Search PSMs,Glyco Search Peptides,Glyco Search Time,Semispecific PSMs,Semispecific Peptides,Semispecific Search Time,Nonspecific PSMs,Nonspecific Peptides,Nonspecific Search Time,Modern Search PSMs,Modern Search Peptides,Modern Search Time,TopDown Initial PrSMs,TopDown Initial Proteoforms,TopDown Post-calibration PrSMs,TopDown Post-calibration Proteoforms,TopDown Post-averaging PrSMs,TopDown Post-averaging Proteoforms,TopDown Post-GPTMD PrSMs,TopDown Post-GPTMD Proteoforms,TopDown Initial Search Time,TopDown Calibration Time,TopDown Post-calibration Search Time,TopDown Averaging Time,TopDown Post-averaging Search Time,TopDown GPTMD Time,TopDown Post-GPTMD Search Time,InitialSearchProteinGroups
04/07/2019 01:07:31,31268,11435,31307,11844,35212,13041,354.7183032,522.4383838,276.8598767,937.1059812,349.8976226,0,0,0,0,0,0,0,0,0,0,35790,13022,2475.0269617999998,0,0,0,31264,11430,572.6418265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
04/14/2019 01:44:53,31268,11435,31307,11844,35212,13041,787.2022836,1064.5525234,541.2676452,1502.2942002999998,690.35016409999992,13,223,115,416,8432,0,64.951713,0,0,0,35790,13022,4430.7593245,5378,4207,4326.0689772,31264,11430,1158.4832572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
04/21/2019 01:20:55,31268,11435,31307,11844,35193,13119,477.06986279999995,631.2566435,384.1152009,1213.8992899999998,464.21636279999996,13,223,115,416,8432,0,60.7056434,0,0,0,35790,13022,3382.4774973999997,5378,4207,3388.4012183,31264,11430,768.98305229999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
04/28/2019 01:41:38,31268,11435,31307,11844,35193,13119,752.74947339999994,987.8387776,550.2445711,1512.1967995999998,649.02790889999994,16,228,115,417,8432,0,69.9229575,0,0,0,35790,13022,4984.9765647999993,5378,4207,4607.4958134,31264,11430,1090.1726989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
05/05/2019 01:08:02,31268,11435,31307,11844,35193,13119,362.01211409999996,520.005466,275.01053759999996,947.1106618,338.1738463,16,228,115,417,8432,0,46.3434738,0,0,0,35790,13050,3091.0062722,5378,4207,3015.927377,31268,11435,1011.4362104999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
05/12/2019 01:07:20,31268,11435,31307,11844,35193,13119,361.23460869999997,517.6812706,276.8538862,938.6460851999999,337.2558319,16,228,115,417,8432,0,43.6252991,0,0,0,35790,13050,1612.9400964,5378,4207,2761.2924379,31268,11435,567.4673776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
05/19/2019 01:07:21,31268,11435,31307,11844,35193,13119,363.41487689999997,523.729029,283.6459182,919.077462,343.8755394,16,228,115,417,8432,0,44.7820487,0,0,0,35790,13050,1590.8339718999998,5378,4207,2754.7051088999997,31268,11435,557.0200532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
05/26/2019 01:07:50,31268,11435,31307,11844,35193,13119,367.8240876,526.9386994,281.7347438,937.0411587,345.9073463,16,228,115,417,8432,0,44.635649199999996,0,0,0,35841,13115,1684.8756415,5379,4208,2757.5179046,31268,11435,578.5877178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
06/02/2019 01:07:44,31270,11436,31309,11845,35196,13121,348.3255101,530.80636889999994,283.0882118,939.3772912,349.6913464,16,228,115,417,8432,0,44.1297022,0,0,0,35858,13115,1008.6766259999999,5379,4208,2440.3099939999997,31270,11436,564.9028181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
06/09/2019 01:08:31,31270,11436,31309,11845,35196,13121,365.1513361,542.9984549,291.1846165,946.1117967,351.6361571,16,228,115,417,8432,0,45.3653364,0,0,0,35858,13115,996.89394039999991,5379,4208,2451.0003339,31270,11436,570.2287149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
